Marca,Latitud,Longitud,area
steelpro,-27.5905258,152.9267278,EPP
bauker,61.2736795,10.1586468,EPP
"edelbrooks, proflex, dakota, defender",,,EPP
crowman - force,,,Ferretería
stanley - force - tullmex - bahco - klein- tools,,,Ferretería
black and decker,39.5876403,-76.8513433,"Ferretería, Metalmecánica"
force - knipe,,,Ferretería
odis,50.3861174,30.460015,Ferretería
master lock,43.0661862,-87.9535525,Ferretería
force,42.9632573,13.4909482,"Ferretería, Metalmecánica"
sds plus,-6.1146284,106.8833895,Ferretería
bosh,33.9319621,-117.875972,"Ferretería, Tornería"
bellota,39.4398789,-7.0132623,Ferretería
stanley,-51.6930616,-57.856525,"Ferretería, Metalmecánica, Tornería"
stretto,43.7987234,15.6415407,Ferretería
peña,42.4748009,-1.3097595,Ferretería
tótem,-34.5780338,-58.4681703,Ferretería
volkel,51.6440771,5.6557033,Ferretería
ferg,40.5,71.25,Ferretería
dormer,52.854588,-8.9789574,"Ferretería, Tornería"
fluke,53.168563,8.6218302,Ferretería
3m,44.9780389,-93.2280099,Ferretería
alle - man,52.4600753,13.4206428,Metalmecánica
proto,-6.9655412,109.6694008,Metalmecánica
nikolson,,,Metalmecánica
force - stanley,54.3848635,-3.2730972,Metalmecánica
indura,53.459721,23.883736,"Metalmecánica, Tornería"
j.k,-19.0935717,-44.4933717,Metalmecánica
gedore,-29.77897,-51.1631893,Metalmecánica
lemco,-39.8325974,-73.250753,Metalmecánica
miller,31.1591063,-84.737836,Metalmecánica
lincoln,40.8088861,-96.7077751,Metalmecánica
korea,36.638392,127.6961188,Tornería
mitutoyo,-23.5702761,-46.2993194,Tornería
toma weldon,,,Tornería
alpen,45.9083263,9.1420628,Tornería
graztai,,,Tornería
jk,33.84412,73.796642,Tornería
sant,18.9908235,-71.9943985,Tornería
harvest,34.8558725,-86.7491214,Tornería
insize,-38.9524582,-68.0895603,Tornería
angelito,18.3226946,-65.7514053,Tornería
saandog,,,Tornería
higred,,,Tornería
vertex,-33.9095845,151.2120614,Tornería
korloy,50.1943474,8.5883512,Tornería
sandvik,58.7876452,-2.9763807,Tornería
mitsubishi,19.4223744,-99.0852376,Tornería
kennametal,13.0508314,77.4989333,Tornería
widia,51.4464192,6.9885137,Tornería
bahco,59.9475329,30.363532,Tornería
tools,59.3460007,18.0380667,Tornería
liszt,47.5033615,19.0645771,Tornería
walter,49.28462,22.2998,Tornería
lámina,52.0836069,21.0261603,Tornería
isesa,-8.0184517,31.678016,Tornería
norton,39.7944702,-99.9100033,Tornería
list,55.0177399,8.4359967,Tornería
starrey,50.4800457,13.8952006,Tornería
sandvick,48.9446554,142.1920979,Tornería
loctite,40.3377932,49.8332266,Tornería
bosh-indura,,,Tornería
starrett,-0.1167591,-78.4798799,Tornería
eclipse,43.0472759,-87.8948825,Tornería
